Date,MU,NBIS,CRCL,INTC,STX
2026-03-04,400.6016845703125,97.77999877929688,105.2699966430664,45.58000183105469,374.35699462890625
2026-03-05,396.8832702636719,95.6500015258789,105.73999786376953,45.95000076293945,366.7003173828125
2026-03-06,370.1445007324219,89.33000183105469,101.91000366210938,43.41999816894531,352.1856384277344
2026-03-09,389.1565246582031,94.94000244140625,111.83999633789062,45.58000183105469,373.67816162109375
2026-03-10,402.9407043457031,96.43000030517578,118.08999633789062,46.779998779296875,383.6208190917969
2026-03-11,418.5141906738281,111.99500274658203,112.80999755859375,47.97999954223633,385.2978820800781
2026-03-12,405.1797790527344,108.04000091552734,114.18000030517578,45.25,373.3287658691406
2026-03-13,425.9510803222656,112.94999694824219,115.37999725341797,45.77000045776367,383.04180908203125
2026-03-16,441.6144714355469,129.85000610351562,125.83000183105469,45.7599983215332,398.0855712890625
2026-03-17,461.4961242675781,116.33000183105469,132.30999755859375,44.060001373291016,420.3567199707031
2026-03-18,461.5361328125,118.55999755859375,132.83999633789062,45.029998779296875,406.0616455078125
2026-03-19,444.08343505859375,121.5199966430664,128.3300018310547,46.18000030517578,433.84320068359375
2026-03-20,422.722412109375,117.62000274658203,126.02999877929688,43.869998931884766,410.513916015625
2026-03-23,404.1802062988281,114.1500015258789,126.63999938964844,44.0099983215332,403.3164367675781
2026-03-24,395.3639221191406,114.91000366210938,101.16999816894531,44.060001373291016,424.2200012207031
2026-03-25,381.9295654296875,115.08999633789062,103.86000061035156,47.18000030517578,413.2200012207031
2026-03-26,355.31072998046875,105.97000122070312,98.2699966430664,44.099998474121094,378.7900085449219
2026-03-27,357.07000732421875,100.81999969482422,93.66000366210938,43.130001068115234,380.07000732421875
2026-03-30,321.79998779296875,92.26000213623047,89.91000366210938,41.189998626708984,362.42999267578125
2026-03-31,337.8399963378906,103.76000213623047,95.41000366210938,44.130001068115234,391.760009765625
2026-04-01,367.8500061035156,101.94999694824219,90.73999786376953,48.029998779296875,423.1199951171875
2026-04-02,366.239990234375,108.81999969482422,90.26000213623047,50.380001068115234,429.3599853515625
2026-04-06,377.760009765625,112.54000091552734,92.1500015258789,50.779998779296875,453.29998779296875
2026-04-07,377.5799865722656,117.4000015258789,94.12000274658203,52.90999984741211,468.7200012207031
2026-04-08,406.7300109863281,125.0,94.44000244140625,58.95000076293945,496.29998779296875
2026-04-09,421.510009765625,136.3300018310547,85.0999984741211,61.720001220703125,500.7699890136719
2026-04-10,420.5899963378906,144.97000122070312,88.04000091552734,62.380001068115234,503.1300048828125
2026-04-13,426.55999755859375,154.55999755859375,98.68000030517578,65.18000030517578,513.280029296875
2026-04-14,465.6600036621094,161.94000244140625,105.48999786376953,63.810001373291016,533.4400024414062
2026-04-15,456.2300109863281,166.77000427246094,105.5199966430664,64.94000244140625,519.5999755859375
2026-04-16,457.2300109863281,165.33999633789062,107.45999908447266,68.5,531.8099975585938
2026-04-17,455.07000732421875,157.13999938964844,105.91000366210938,68.5,547.75
2026-04-20,448.4200134277344,159.16000366210938,106.36000061035156,65.69999694824219,539.75
2026-04-21,449.3800048828125,156.5500030517578,96.0199966430664,66.26000213623047,559.9000244140625
2026-04-22,487.4800109863281,156.13999938964844,104.36000061035156,65.2699966430664,579.8800048828125
2026-04-23,481.7200012207031,157.0800018310547,100.01000213623047,66.77999877929688,587.6199951171875
2026-04-24,496.7200012207031,147.16000366210938,99.66000366210938,82.54000091552734,586.25
2026-04-27,524.5599975585938,144.9600067138672,95.44000244140625,84.98999786376953,595.8599853515625
2026-04-28,504.2900085449219,135.50999450683594,94.3499984741211,84.5199966430664,579.030029296875
2026-04-29,518.4600219726562,141.19000244140625,95.55999755859375,94.75,643.2999877929688
2026-04-30,517.1599731445312,138.22999572753906,90.87999725341797,94.4800033569336,673.6400146484375
2026-05-01,542.2100219726562,154.49000549316406,99.69999694824219,99.62000274658203,726.9299926757812
2026-05-04,576.4500122070312,176.4199981689453,119.52999877929688,95.77999877929688,738.5399780273438
